Name;URL;Author;Price;Number of Ratings;Average Rating
            Moments : Supplementary Reader in English for Class - 9  - 960        ;www.amazon.in/Moments-Supplementary-Reader-English-Class/dp/8174505032?_encoding=UTF8&psc=1;Not available;Not available;4;4.3 out of 5 stars
            Essential English Grammar with Answers        ;www.amazon.in/Essential-English-Grammar-Answers-Raymond/dp/8175960299?_encoding=UTF8&psc=1;Raymond Murphy;   129.00;591;4.4 out of 5 stars
            The Dragon of Fortune (Geronimo Stilton and the Kingdom of Fantasy: Special Edition #2)        ;www.amazon.in/Fortune-Geronimo-Stilton-Kingdom-Fantasy/dp/9352751183?_encoding=UTF8&psc=1;Geronimo Stilton;   560.00;153;4.7 out of 5 stars
            To Kill a Mockingbird        ;www.amazon.in/Kill-Mockingbird-Harper-Lee/dp/0099549484?_encoding=UTF8&psc=1;Harper Lee;   230.00;1,049;4.3 out of 5 stars
            RRB Group D Guide Hindi 2018        ;www.amazon.in/RRB-Group-Guide-Hindi-2018/dp/9312147897?_encoding=UTF8&psc=1;Not available;   209.00;15;3.9 out of 5 stars
            Mathematics Textbook for Class - 10  - 1062        ;www.amazon.in/Mathematics-Textbook-Class-10-1062/dp/8174506349?_encoding=UTF8&psc=1;Not available;   140.00;33;3.8 out of 5 stars
            12 Years' Solved Papers CBSE AIPMT & NEET        ;www.amazon.in/Years-Solved-Papers-CBSE-AIPMT/dp/9311127639?_encoding=UTF8&psc=1;Not available;   244.00;26;4.0 out of 5 stars
            Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated Cover        ;www.amazon.in/Ram-Scion-Ikshvaku-Chandra-Updated/dp/9385152149?_encoding=UTF8&psc=1;Amish Tripathi;   219.00;4,381;4.1 out of 5 stars
            Thinking, Fast and Slow (Penguin Press Non-Fiction)        ;www.amazon.in/Thinking-Fast-Penguin-Press-Non-Fiction/dp/0141033576?_encoding=UTF8&psc=1;Daniel Kahneman;   359.00;456;4.5 out of 5 stars
            Three Thousand Stitches: Ordinary People, Extraordinary Lives        ;www.amazon.in/Three-Thousand-Stitches-Ordinary-Extraordinary/dp/0143440055?_encoding=UTF8&psc=1;Not available;   141.00;157;4.4 out of 5 stars
            Chapterwise Solutions Physics JEE Main 2018        ;www.amazon.in/Chapterwise-Solutions-Physics-Main-2018/dp/9311126292?_encoding=UTF8&psc=1;Not available;   168.00;27;3.8 out of 5 stars
            Study Guide for B.Arch 2018        ;www.amazon.in/Study-Guide-B-Arch-2018-Mishra/dp/9312146033?_encoding=UTF8&psc=1;Not available;   263.00;4;4.4 out of 5 stars
            An Era of Darkness: The British Empire in India        ;www.amazon.in/Era-Darkness-British-Empire-India/dp/938306465X?_encoding=UTF8&psc=1;Shashi Tharoor;   437.00;323;4.5 out of 5 stars
            Who Will Cry When You Die?        ;www.amazon.in/Who-Will-Cry-When-You/dp/8179922324?_encoding=UTF8&psc=1;Robin Sharma;   149.00;2,425;4.4 out of 5 stars
            Harry Potter and the Chamber of Secrets (Harry Potter 2)        ;www.amazon.in/Harry-Potter-Chamber-Secrets/dp/1408855666?_encoding=UTF8&psc=1;J.K. Rowling;   399.00;380;4.6 out of 5 stars
            Skin in the Game        ;www.amazon.in/Skin-Game-Nassim-Nicholas-Taleb/dp/0241300657?_encoding=UTF8&psc=1;Nassim Nicholas Taleb;   539.00;7;4.3 out of 5 stars
            Life is What You Make It        ;www.amazon.in/Life-What-Make-Preeti-Shenoy/dp/9380349300?_encoding=UTF8&psc=1;Preeti Shenoy;   81.00;2,562;3.9 out of 5 stars
            Prep Guide to BITSAT 2018        ;www.amazon.in/Prep-Guide-BITSAT-Arihant-Experts/dp/9311130133?_encoding=UTF8&psc=1;Not available;   500.00;19;4.7 out of 5 stars
            Trueman's UGC NET/SET General Paper I        ;www.amazon.in/Truemans-UGC-NET-General-Paper/dp/8189301225?_encoding=UTF8&psc=1;Not available;   265.00;297;4.2 out of 5 stars
            Grandma's Bag of Stories        ;www.amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623?_encoding=UTF8&psc=1;Not available;   215.00;443;4.4 out of 5 stars
            Looking for Alaska        ;www.amazon.in/Looking-Alaska-John-Green/dp/0007523521?_encoding=UTF8&psc=1;John Green;   200.00;408;4.3 out of 5 stars
